name,email,alternate_emails,phone,website,email_status,review_status,review_reasons
Mint IT,contact@mintit.io,Tunisiacontact@mint.io,71 891 743,http://www.mintit.io/,MATCH,REVIEW,multiple email domains
Medius,info.france@medius.com,,+33 1 85 09 28 40,https://www.expensya.com/,REVIEW,REVIEW,email domain differs from website
Celestial Wave Digital,celestialwavedigital@gmail.com,,50 740 663,http://www.celestialwavedigital.com/,REVIEW,REVIEW,email domain differs from website
Nachd IT,IT@gmail.net,,27 751 305,http://www.nachd-it.com/,REVIEW,REVIEW,email domain differs from website
ASM Sousse - All Soft Multimedia - Ingénierie logicielle,sav@asm-tunisie.com,,92 242 610,https://asmpos.com/,REVIEW,REVIEW,email domain differs from website
ABS COMPUTER,contact@abscomputer.tn,,70 015 081,http://www.abscomputer.co/,REVIEW,REVIEW,email domain differs from website
ID SOFT - Caisse Tactile Tunisie,id2softwaresolutions@gmail.com,,52 316 703,https://idsoft.tn/,REVIEW,REVIEW,email domain differs from website
Telnet,info@groupe-telnet.net,,,http://www.groupe-telnet.com/,REVIEW,REVIEW,email domain differs from website
IT SERVICES,contact@tun-its.com,,74 227 995,https://www.it-services.com.tn/,REVIEW,REVIEW,email domain differs from website
Web Media Tunisie,commercial@webmediatunisie.com,,25 472 525,http://webmedia-tunisie.com/,REVIEW,REVIEW,email domain differs from website
Digital rise solutions | SEO | référencement naturel | Agence SEO Tunisie | سيو,amira@digital-rise-solutions.com,amira@digitalrisesolutions.com,22 105 514,https://digital-rise-solutions.com/,MATCH,REVIEW,multiple email domains
Kaoun,contact@flouci.com,,31 334 400,https://www.kaoun.com/,REVIEW,REVIEW,email domain differs from website
WEBI,webitunisie@gmail.com,,27 707 777,https://www.webi.tn/,REVIEW,REVIEW,email domain differs from website
